resource,dgc_id,mik_id,name,hotspot_dgc_uuid,offer_dgc_uuid
hotspot,1006,7cb71057-768a-4d6c-b171-8427e4eecde2,KOLIA WIFI ZONE,88a8cc33-3a63-4c05-a56c-8335979577fa,
offer,3854,6ca042d2-f44a-4384-9ef6-effbb75269fb,5 heures,,eb2c3aef-e491-49eb-be6e-1a6d0aeebbb8
offer,3855,e4fa1a5f-42a7-4d1b-bd73-22f9ec6e6d7f,24 heures,,3dd9fc31-da7a-4e21-b47e-15faf9ed1eb9
offer,3856,9b661a8d-224e-4798-b958-15aac870c10c,3 jours,,8f207f59-d29b-4a12-8022-456e332a4058
offer,3857,b3265014-cd7c-4fbc-be7b-d9fff09bebf5,1 semaine,,b446b249-18d0-49fc-a8d7-081fb6265b7f
offer,3858,7e2f5bc2-51fb-4d4f-bc10-42262f69aa68,1 mois,,d1785704-2089-47a3-a81f-b90c48031019
